曲名,类别,难度,等级,定数,达成率,DX分数, DX Rating
JACKY [Remix],SD,Basic,4,4,0,0,0
JACKY [Remix],SD,Advanced,7,7.5,0,0,0
JACKY [Remix],SD,Expert,11,11.1,0,0,0
JACKY [Remix],SD,Re:MASTER,13+,13.9,0,0,0
Tell Your World,SD,Basic,6,6,0,0,0
Tell Your World,SD,Advanced,7,7.5,0,0,0
Tell Your World,SD,Expert,10,10.5,0,0,0
Tell Your World,SD,Master,12,12.4,0,0,0
おちゃめ機能,SD,Basic,5,5,0,0,0
おちゃめ機能,SD,Advanced,8,8.1,0,0,0
おちゃめ機能,SD,Expert,9,9.1,0,0,0
ダンシング☆サムライ,SD,Basic,6,6,0,0,0
ダンシング☆サムライ,SD,Advanced,8,8.2,0,0,0
ダンシング☆サムライ,SD,Expert,11,11.1,0,0,0
ダンシング☆サムライ,SD,Master,12+,12.7,0,0,0
BAD∞END∞NIGHT,SD,Basic,6,6,0,0,0
BAD∞END∞NIGHT,SD,Advanced,8,8.6,0,0,0
BAD∞END∞NIGHT,SD,Expert,10+,10.7,0,0,0
ロミオとシンデレラ,SD,Basic,5,5,0,0,0
ロミオとシンデレラ,SD,Advanced,8,8.6,0,0,0
ロミオとシンデレラ,SD,Expert,11,11.1,0,0,0
ロミオとシンデレラ,SD,Master,12+,12.7,0,0,0
Sweetiex2,SD,Basic,5,5,0,0,0
Sweetiex2,SD,Advanced,6,6.9,0,0,0
Sweetiex2,SD,Expert,8,8.5,0,0,0
Sweetiex2,SD,Master,12,12.4,0,0,0
腐れ外道とチョコレゐト,SD,Basic,6,6,0,0,0
腐れ外道とチョコレゐト,SD,Advanced,9,9,0,0,0
腐れ外道とチョコレゐト,SD,Master,13+,13.7,0,0,0
Quartet Theme [Reborn],SD,Basic,3,3,0,0,0
Quartet Theme [Reborn],SD,Advanced,7,7.3,0,0,0
Quartet Theme [Reborn],SD,Expert,11+,11.9,0,0,0
Quartet Theme [Reborn],SD,Master,12+,12.8,0,0,0
Sky High [Reborn],SD,Basic,5,5,0,0,0
Sky High [Reborn],SD,Advanced,8,8.2,0,0,0
Sky High [Reborn],SD,Expert,10+,10.7,0,0,0
Sky High [Reborn],SD,Master,12+,12.7,0,0,0
Sky High [Reborn],SD,Re:MASTER,12+,12.7,0,0,0
Like the Wind [Reborn],SD,Basic,6,6,0,0,0
Like the Wind [Reborn],SD,Advanced,9,9,0,0,0
Like the Wind [Reborn],SD,Expert,11,11.4,0,0,0
YA･DA･YO [Reborn],SD,Basic,4,4,0,0,0
YA･DA･YO [Reborn],SD,Advanced,8+,8.7,0,0,0
YA･DA･YO [Reborn],SD,Expert,13,13,0,0,0
Space Harrier Main Theme [Reborn],SD,Basic,6,6,0,0,0
Space Harrier Main Theme [Reborn],SD,Advanced,7,7.6,0,0,0
Space Harrier Main Theme [Reborn],SD,Expert,11+,11.7,0,0,0
Space Harrier Main Theme [Reborn],SD,Master,13+,13.8,0,0,0
DADDY MULK -Groove remix-,SD,Basic,5,5,0,0,0
DADDY MULK -Groove remix-,SD,Advanced,7,7.5,0,0,0
DADDY MULK -Groove remix-,SD,Expert,12,12,0,0,0
DADDY MULK -Groove remix-,SD,Re:MASTER,13+,13.7,0,0,0
ぴぴぱぷぅ！,SD,Basic,3,3,0,0,0
ぴぴぱぷぅ！,SD,Advanced,8,8.2,0,0,0
ぴぴぱぷぅ！,SD,Expert,11,11.2,0,0,0
ぴぴぱぷぅ！,SD,Master,13,13,0,0,0
炎歌 -ほむらうた-,SD,Basic,4,4,0,0,0
炎歌 -ほむらうた-,SD,Advanced,7,7.2,0,0,0
炎歌 -ほむらうた-,SD,Expert,12,12,0,0,0
犬日和。,SD,Basic,5,5,0,0,0
犬日和。,SD,Advanced,7,7,0,0,0
犬日和。,SD,Expert,10,10,0,0,0
ソーラン☆節,SD,Basic,6,6,0,0,0
ソーラン☆節,SD,Advanced,8,8,0,0,0
ソーラン☆節,SD,Expert,11,11.4,0,0,0
デコボコ体操第二,SD,Basic,5,5,0,0,0
デコボコ体操第二,SD,Advanced,6,6.8,0,0,0
デコボコ体操第二,SD,Expert,9,9.1,0,0,0
デコボコ体操第二,SD,Master,10+,10.7,0,0,0
スイートマジック,SD,Basic,4,4,0,0,0
スイートマジック,SD,Advanced,7,7.1,0,0,0
スイートマジック,SD,Expert,10+,10.7,0,0,0
スイートマジック,SD,Master,12,12.4,0,0,0
ゴーゴー幽霊船,SD,Basic,5,5,0,0,0
ゴーゴー幽霊船,SD,Advanced,8,8.2,0,0,0
ゴーゴー幽霊船,SD,Expert,11,11.2,0,0,0
ゴーゴー幽霊船,SD,Master,12,12.5,0,0,0
御旗のもとに,SD,Basic,5,5,0,0,0
御旗のもとに,SD,Advanced,7,7.6,0,0,0
御旗のもとに,SD,Expert,12,12.1,0,0,0
御旗のもとに,SD,Master,12+,12.7,0,0,0
FEEL ALIVE,SD,Basic,6,6,0,0,0
FEEL ALIVE,SD,Advanced,8+,8.8,0,0,0
FEEL ALIVE,SD,Expert,12,12.1,0,0,0
Link,SD,Basic,6,6,0,0,0
Link,SD,Advanced,7+,7.8,0,0,0
Link,SD,Expert,12,12.5,0,0,0
Link,SD,Master,12,12.5,0,0,0
Link,SD,Re:MASTER,13,13.5,0,0,0
Turn around,SD,Basic,6,6,0,0,0
Turn around,SD,Advanced,8,8.1,0,0,0
Turn around,SD,Master,13+,13.7,0,0,0
We Gonna Party,SD,Basic,6,6,0,0,0
We Gonna Party,SD,Advanced,8,8.6,0,0,0
We Gonna Party,SD,Expert,12+,12.9,0,0,0
We Gonna Party,SD,Master,13+,13.7,0,0,0
Night Fly,SD,Basic,3,3,0,0,0
Night Fly,SD,Advanced,8,8.2,0,0,0
Night Fly,SD,Expert,11+,11.7,0,0,0
Night Fly,SD,Re:MASTER,13,13.4,0,0,0
Feel My Fire,SD,Basic,5,5,0,0,0
Feel My Fire,SD,Advanced,9,9.1,0,0,0
Feel My Fire,SD,Expert,11,11.1,0,0,0
Feel My Fire,SD,Master,13,13.2,0,0,0
Streak,SD,Basic,6,6,0,0,0
Streak,SD,Advanced,8,8.1,0,0,0
Streak,SD,Expert,12+,12.7,0,0,0
Spin me harder,SD,Basic,6,6,0,0,0
Spin me harder,SD,Advanced,8,8.4,0,0,0
Spin me harder,SD,Master,13,13.4,0,0,0
Lionheart,SD,Basic,6,6,0,0,0
Lionheart,SD,Advanced,8,8.2,0,0,0
Lionheart,SD,Expert,11,11.4,0,0,0
Lionheart,SD,Master,13,13.4,0,0,0
Acceleration,SD,Basic,7,7,0,0,0
Acceleration,SD,Advanced,8+,8.7,0,0,0
Acceleration,SD,Expert,11+,11.9,0,0,0
Acceleration,SD,Master,13,13.4,0,0,0
Sprintrances,SD,Basic,6,6,0,0,0
Sprintrances,SD,Advanced,8,8.6,0,0,0
Sprintrances,SD,Expert,11,11.1,0,0,0
Sprintrances,SD,Master,13,13.3,0,0,0
Nerverakes,SD,Basic,7,7,0,0,0
Nerverakes,SD,Advanced,8,8.4,0,0,0
Nerverakes,SD,Expert,11+,11.9,0,0,0
Nerverakes,SD,Master,14,14,0,0,0
Black Out,SD,Basic,6,6,0,0,0
Black Out,SD,Advanced,8,8.2,0,0,0
Fragrance,SD,Basic,6,6,0,0,0
Fragrance,SD,Advanced,9,9.3,0,0,0
Fragrance,SD,Re:MASTER,14,14.5,0,0,0
air's gravity,SD,Basic,7,7,0,0,0
air's gravity,SD,Advanced,8,8.6,0,0,0
air's gravity,SD,Expert,11,11.3,0,0,0
air's gravity,SD,Master,13,13.3,0,0,0
air's gravity,SD,Re:MASTER,13,13.5,0,0,0
Starlight Disco,SD,Basic,4,4,0,0,0
Starlight Disco,SD,Advanced,7+,7.8,0,0,0
Starlight Disco,SD,Expert,11+,11.9,0,0,0
Starlight Disco,SD,Master,12,12.4,0,0,0
Starlight Disco,SD,Re:MASTER,12+,12.7,0,0,0
39,SD,Basic,5,5,0,0,0
39,SD,Advanced,8,8.6,0,0,0
39,SD,Expert,11,11.2,0,0,0
39,SD,Master,12+,12.9,0,0,0
地上の戦士,SD,Basic,5,5,0,0,0
地上の戦士,SD,Advanced,7+,7.7,0,0,0
地上の戦士,SD,Expert,11,11.4,0,0,0
地上の戦士,SD,Master,12+,12.7,0,0,0
超絶！Superlative,SD,Basic,6,6,0,0,0
超絶！Superlative,SD,Advanced,8+,8.7,0,0,0
采配の刻 Power of order,SD,Basic,6,6,0,0,0
采配の刻 Power of order,SD,Advanced,8,8.6,0,0,0
采配の刻 Power of order,SD,Expert,11+,11.9,0,0,0
采配の刻 Power of order,SD,Master,13,13.2,0,0,0
DO RORO DERODERO ON DO RORO,SD,Basic,6,6,0,0,0
DO RORO DERODERO ON DO RORO,SD,Advanced,8+,8.9,0,0,0
DO RORO DERODERO ON DO RORO,SD,Expert,13,13.2,0,0,0
泣き虫O'clock,SD,Basic,4,4,0,0,0
泣き虫O'clock,SD,Advanced,8,8.1,0,0,0
泣き虫O'clock,SD,Expert,10+,10.9,0,0,0
泣き虫O'clock,SD,Master,13,13.2,0,0,0
泣き虫O'clock,SD,Re:MASTER,12+,12.9,0,0,0
Natural Flow,SD,Basic,4,4,0,0,0
Natural Flow,SD,Advanced,7+,7.9,0,0,0
Natural Flow,SD,Expert,11+,11.8,0,0,0
Natural Flow,SD,Master,12,12.5,0,0,0
maimaiちゃんのテーマ,SD,Basic,5,5,0,0,0
maimaiちゃんのテーマ,SD,Advanced,7,7.1,0,0,0
maimaiちゃんのテーマ,SD,Expert,9,9.3,0,0,0
I ♥,SD,Basic,5,5,0,0,0
I ♥,SD,Advanced,7+,7.7,0,0,0
I ♥,SD,Expert,9,9.4,0,0,0
I ♥,SD,Master,12+,12.7,0,0,0
＊ハロー、プラネット。,SD,Basic,3,3,0,0,0
＊ハロー、プラネット。,SD,Advanced,6,6.8,0,0,0
＊ハロー、プラネット。,SD,Expert,9,9.6,0,0,0
＊ハロー、プラネット。,SD,Master,12+,12.8,0,0,0
イアイア★ナイトオブデザイア,SD,Basic,5,5,0,0,0
イアイア★ナイトオブデザイア,SD,Advanced,7,7.3,0,0,0
イアイア★ナイトオブデザイア,SD,Expert,9+,9.8,0,0,0
イアイア★ナイトオブデザイア,SD,Master,11,11.2,0,0,0
ローリンガール,SD,Basic,4,4,0,0,0
ローリンガール,SD,Advanced,7,7.4,0,0,0
ローリンガール,SD,Expert,9+,9.8,0,0,0
天ノ弱,SD,Basic,4,4,0,0,0
天ノ弱,SD,Advanced,8,8.4,0,0,0
天ノ弱,SD,Expert,11,11,0,0,0
天ノ弱,SD,Master,13,13.3,0,0,0
弱虫モンブラン,SD,Basic,4,4,0,0,0
弱虫モンブラン,SD,Advanced,7,7,0,0,0
弱虫モンブラン,SD,Expert,10+,10.9,0,0,0
モザイクロール,SD,Basic,3,3,0,0,0
モザイクロール,SD,Advanced,7+,7.7,0,0,0
モザイクロール,SD,Expert,10+,10.7,0,0,0
モザイクロール,SD,Master,12+,12.7,0,0,0
脳漿炸裂ガール,SD,Basic,5,5,0,0,0
脳漿炸裂ガール,SD,Advanced,7,7.1,0,0,0
セツナトリップ,SD,Basic,5,5,0,0,0
セツナトリップ,SD,Advanced,7,7.6,0,0,0
セツナトリップ,SD,Expert,11,11,0,0,0
放課後ストライド,SD,Basic,5,5,0,0,0
放課後ストライド,SD,Advanced,8,8.4,0,0,0
放課後ストライド,SD,Expert,10+,10.7,0,0,0
カゲロウデイズ,SD,Basic,5,5,0,0,0
カゲロウデイズ,SD,Advanced,7,7,0,0,0
カゲロウデイズ,SD,Expert,11+,11.7,0,0,0
カゲロウデイズ,SD,Master,13,13.2,0,0,0
チルノのパーフェクトさんすう教室,SD,Basic,3,3,0,0,0
チルノのパーフェクトさんすう教室,SD,Advanced,7,7.2,0,0,0
チルノのパーフェクトさんすう教室,SD,Expert,10,10.4,0,0,0
Bad Apple!! feat nomico,SD,Basic,3,3,0,0,0
Bad Apple!! feat nomico,SD,Advanced,6,6.8,0,0,0
Bad Apple!! feat nomico,SD,Expert,10,10.6,0,0,0
魔理沙は大変なものを盗んでいきました,SD,Basic,6,6,0,0,0
魔理沙は大変なものを盗んでいきました,SD,Advanced,7,7.2,0,0,0
魔理沙は大変なものを盗んでいきました,SD,Expert,9,9.5,0,0,0
Grip & Break down !!,SD,Basic,4,4,0,0,0
Grip & Break down !!,SD,Advanced,7,7,0,0,0
Grip & Break down !!,SD,Expert,9+,9.7,0,0,0
"Help me, ERINNNNNN!!",SD,Basic,6,6,0,0,0
"Help me, ERINNNNNN!!",SD,Advanced,7,7,0,0,0
"Help me, ERINNNNNN!!",SD,Expert,11,11.6,0,0,0
"Help me, ERINNNNNN!!",SD,Master,12,12.5,0,0,0
ナイト・オブ・ナイツ,SD,Basic,4,4,0,0,0
ナイト・オブ・ナイツ,SD,Advanced,8,8,0,0,0
ナイト・オブ・ナイツ,SD,Expert,11+,11.9,0,0,0
ナイト・オブ・ナイツ,SD,Re:MASTER,14,14.3,0,0,0
全人類ノ非想天則,SD,Basic,4,4,0,0,0
全人類ノ非想天則,SD,Advanced,7+,7.9,0,0,0
全人類ノ非想天則,SD,Expert,10,10.6,0,0,0
全人類ノ非想天則,SD,Master,13,13.2,0,0,0
しゅわスパ大作戦☆,SD,Basic,5,5,0,0,0
しゅわスパ大作戦☆,SD,Advanced,7,7.5,0,0,0
しゅわスパ大作戦☆,SD,Expert,9+,9.9,0,0,0
しゅわスパ大作戦☆,SD,Master,12+,12.7,0,0,0
時空を超えて久しぶり！,SD,Basic,3,3,0,0,0
時空を超えて久しぶり！,SD,Advanced,6,6.2,0,0,0
時空を超えて久しぶり！,SD,Expert,10,10.3,0,0,0
時空を超えて久しぶり！,SD,Master,12+,12.7,0,0,0
Her Dream Is To Be A Fantastic Sorceress,SD,Basic,2,2,0,0,0
Her Dream Is To Be A Fantastic Sorceress,SD,Advanced,6,6.8,0,0,0
Her Dream Is To Be A Fantastic Sorceress,SD,Expert,10+,10.9,0,0,0
Her Dream Is To Be A Fantastic Sorceress,SD,Master,12,12,0,0,0
ココロスキャンのうた,SD,Basic,5,5,0,0,0
ココロスキャンのうた,SD,Advanced,7,7.5,0,0,0
ココロスキャンのうた,SD,Expert,11,11.3,0,0,0
ココロスキャンのうた,SD,Master,13+,13.7,0,0,0
神室雪月花,SD,Basic,2,2,0,0,0
神室雪月花,SD,Advanced,7+,7.7,0,0,0
神室雪月花,SD,Master,12+,12.7,0,0,0
KONNANじゃないっ！,SD,Basic,5,5,0,0,0
KONNANじゃないっ！,SD,Advanced,6,6.8,0,0,0
KONNANじゃないっ！,SD,Expert,9,9,0,0,0
KONNANじゃないっ！,SD,Master,13,13.4,0,0,0
awake,SD,Basic,4,4,0,0,0
awake,SD,Advanced,8,8.5,0,0,0
awake,SD,Expert,9,9.3,0,0,0
awake,SD,Master,13,13.2,0,0,0
Mysterious Destiny,SD,Basic,4,4,0,0,0
Mysterious Destiny,SD,Advanced,7,7.5,0,0,0
Mysterious Destiny,SD,Expert,12+,12.7,0,0,0
Mysterious Destiny,SD,Master,13,13.3,0,0,0
Riders Of The Light,SD,Basic,4,4,0,0,0
Riders Of The Light,SD,Advanced,7,7.4,0,0,0
Riders Of The Light,SD,Expert,11+,11.7,0,0,0
Riders Of The Light,SD,Master,12,12.5,0,0,0
Terminal Storm,SD,Basic,3,3,0,0,0
Terminal Storm,SD,Advanced,7+,7.8,0,0,0
Terminal Storm,SD,Expert,11,11.5,0,0,0
記憶、記録,SD,Basic,4,4,0,0,0
記憶、記録,SD,Advanced,9,9.2,0,0,0
記憶、記録,SD,Expert,11,11.2,0,0,0
記憶、記録,SD,Re:MASTER,14,14.2,0,0,0
セガサターン起動音[H.][Remix],SD,Basic,2,2,0,0,0
セガサターン起動音[H.][Remix],SD,Advanced,7,7.1,0,0,0
セガサターン起動音[H.][Remix],SD,Expert,11,11.1,0,0,0
セガサターン起動音[H.][Remix],SD,Master,12+,12.8,0,0,0
夜咄ディセイブ,SD,Basic,5,5,0,0,0
夜咄ディセイブ,SD,Advanced,8,8.6,0,0,0
夜咄ディセイブ,SD,Expert,12,12.5,0,0,0
夜咄ディセイブ,SD,Master,13+,13.7,0,0,0
ウサテイ,SD,Basic,5,5,0,0,0
ウサテイ,SD,Advanced,7,7.5,0,0,0
ウサテイ,SD,Expert,10+,10.8,0,0,0
sweet little sister,SD,Basic,4,4,0,0,0
sweet little sister,SD,Advanced,7,7.1,0,0,0
sweet little sister,SD,Expert,10+,10.7,0,0,0
Blew Moon,SD,Basic,5,5,0,0,0
Blew Moon,SD,Advanced,9,9.2,0,0,0
Blew Moon,SD,Expert,12,12.5,0,0,0
Blew Moon,SD,Master,13,13.4,0,0,0
Blew Moon,SD,Re:MASTER,13,13.4,0,0,0
Garakuta Doll Play,SD,Basic,6,6,0,0,0
Garakuta Doll Play,SD,Advanced,9,9,0,0,0
Garakuta Doll Play,SD,Re:MASTER,14+,14.8,0,0,0
Dreampainter,SD,Basic,4,4,0,0,0
Dreampainter,SD,Advanced,7+,7.8,0,0,0
Dreampainter,SD,Expert,11,11.1,0,0,0
Dreampainter,SD,Master,12+,12.9,0,0,0
ぐるぐるWASH！コインランドリー・ディスコ,SD,Basic,4,4,0,0,0
ぐるぐるWASH！コインランドリー・ディスコ,SD,Advanced,7,7.2,0,0,0
ぐるぐるWASH！コインランドリー・ディスコ,SD,Expert,9+,9.8,0,0,0
CYCLES,SD,Basic,6,6,0,0,0
CYCLES,SD,Advanced,8,8,0,0,0
CYCLES,SD,Expert,10+,10.8,0,0,0
Heartbeats,SD,Basic,5,5,0,0,0
Heartbeats,SD,Advanced,8+,8.8,0,0,0
Heartbeats,SD,Expert,11+,11.8,0,0,0
Heartbeats,SD,Master,13,13.2,0,0,0
Life Feels Good,SD,Basic,5,5,0,0,0
Life Feels Good,SD,Advanced,8+,8.8,0,0,0
Life Feels Good,SD,Expert,12+,12.8,0,0,0
MYTHOS,SD,Basic,5,5,0,0,0
MYTHOS,SD,Advanced,8,8.6,0,0,0
MYTHOS,SD,Expert,12,12.2,0,0,0
End of Twilight,SD,Basic,4,4,0,0,0
End of Twilight,SD,Advanced,7+,7.8,0,0,0
End of Twilight,SD,Expert,11+,11.9,0,0,0
End of Twilight,SD,Master,13,13.2,0,0,0
火炎地獄,SD,Basic,5,5,0,0,0
火炎地獄,SD,Advanced,9,9,0,0,0
火炎地獄,SD,Expert,12,12.6,0,0,0
火炎地獄,SD,Master,13+,13.9,0,0,0
ユビキリ,SD,Basic,4,4,0,0,0
ユビキリ,SD,Advanced,8,8,0,0,0
ユビキリ,SD,Expert,11+,11.8,0,0,0
ユビキリ,SD,Master,13,13.3,0,0,0
Pixel Voyage,SD,Basic,3,3,0,0,0
Pixel Voyage,SD,Advanced,6,6.8,0,0,0
Pixel Voyage,SD,Expert,9+,9.7,0,0,0
Pixel Voyage,SD,Master,12+,12.8,0,0,0
Get Happy,SD,Basic,4,4,0,0,0
Get Happy,SD,Advanced,7+,7.8,0,0,0
Get Happy,SD,Master,13+,13.8,0,0,0
System “Z”,SD,Basic,6,6,0,0,0
System “Z”,SD,Advanced,9,9.1,0,0,0
System “Z”,SD,Master,14,14.4,0,0,0
System “Z”,SD,Re:MASTER,14,14,0,0,0
Beat of getting entangled,SD,Basic,5,5,0,0,0
Beat of getting entangled,SD,Advanced,8+,8.8,0,0,0
Beat of getting entangled,SD,Master,13+,13.7,0,0,0
Beat of getting entangled,SD,Re:MASTER,14,14.5,0,0,0
Cosmic Train,SD,Basic,3,3,0,0,0
Cosmic Train,SD,Advanced,6,6.4,0,0,0
Cosmic Train,SD,Expert,10+,10.9,0,0,0
ナミダと流星,SD,Basic,5,5,0,0,0
ナミダと流星,SD,Advanced,7+,7.8,0,0,0
ナミダと流星,SD,Expert,10+,10.8,0,0,0
おても☆Yan,SD,Basic,4,4,0,0,0
おても☆Yan,SD,Advanced,6,6.8,0,0,0
おても☆Yan,SD,Expert,10,10.5,0,0,0
おても☆Yan,SD,Master,12+,12.8,0,0,0
maiム・maiム feat.週刊少年マガジン,SD,Basic,5,5,0,0,0
maiム・maiム feat.週刊少年マガジン,SD,Advanced,7,7.6,0,0,0
maiム・maiム feat.週刊少年マガジン,SD,Expert,11,11.5,0,0,0
Danza zandA,SD,Basic,5,5,0,0,0
Danza zandA,SD,Advanced,7+,7.8,0,0,0
Danza zandA,SD,Expert,10+,10.8,0,0,0
Danza zandA,SD,Master,13,13.4,0,0,0
Danza zandA,SD,Re:MASTER,13,13.5,0,0,0
Backyun! －悪い女－,SD,Basic,4,4,0,0,0
Backyun! －悪い女－,SD,Advanced,7,7.5,0,0,0
Backyun! －悪い女－,SD,Expert,11+,11.8,0,0,0
Backyun! －悪い女－,SD,Master,12+,12.7,0,0,0
Backyun! －悪い女－,SD,Re:MASTER,13,13.3,0,0,0
Monochrome Rainbow,SD,Basic,3,3,0,0,0
Monochrome Rainbow,SD,Advanced,8,8.6,0,0,0
Monochrome Rainbow,SD,Expert,10+,10.9,0,0,0
Monochrome Rainbow,SD,Master,13,13,0,0,0
みんなのマイマイマー,SD,Basic,4,4,0,0,0
みんなのマイマイマー,SD,Advanced,8,8.6,0,0,0
みんなのマイマイマー,SD,Expert,11,11.2,0,0,0
円舞曲、君に,SD,Basic,3,3,0,0,0
円舞曲、君に,SD,Advanced,6,6.8,0,0,0
円舞曲、君に,SD,Expert,11,11.3,0,0,0
円舞曲、君に,SD,Master,13,13.3,0,0,0
Live & Learn,SD,Basic,4,4,0,0,0
Live & Learn,SD,Advanced,7,7.6,0,0,0
Live & Learn,SD,Expert,11,11.3,0,0,0
Live & Learn,SD,Master,13,13.3,0,0,0
Burning Hearts ～炎のANGEL～,SD,Basic,5,5,0,0,0
Burning Hearts ～炎のANGEL～,SD,Advanced,8,8.4,0,0,0
Burning Hearts ～炎のANGEL～,SD,Expert,10+,10.9,0,0,0
Burning Hearts ～炎のANGEL～,SD,Master,12+,12.7,0,0,0
Burning Hearts ～炎のANGEL～,SD,Re:MASTER,13+,13.7,0,0,0
いーあるふぁんくらぶ,SD,Basic,4,4,0,0,0
いーあるふぁんくらぶ,SD,Advanced,7,7.5,0,0,0
いーあるふぁんくらぶ,SD,Expert,8,8.6,0,0,0
いーあるふぁんくらぶ,SD,Master,12,12,0,0,0
いーあるふぁんくらぶ,SD,Re:MASTER,12+,12.7,0,0,0
Nyan Cat EX,SD,Basic,5,5,0,0,0
Nyan Cat EX,SD,Advanced,7+,7.9,0,0,0
Nyan Cat EX,SD,Expert,11+,11.7,0,0,0
ぽっぴっぽー,SD,Basic,4,4,0,0,0
ぽっぴっぽー,SD,Advanced,7,7.5,0,0,0
ぽっぴっぽー,SD,Expert,9+,9.9,0,0,0
ぽっぴっぽー,SD,Master,13,13.3,0,0,0
LUCIA,SD,Basic,5,5,0,0,0
LUCIA,SD,Advanced,7,7.5,0,0,0
LUCIA,SD,Expert,12,12.3,0,0,0
LUCIA,SD,Master,13,13.2,0,0,0
Death Scythe,SD,Basic,5,5,0,0,0
Death Scythe,SD,Advanced,8,8.6,0,0,0
Death Scythe,SD,Re:MASTER,14,14.2,0,0,0
BREAK YOU!!,SD,Basic,5,5,0,0,0
BREAK YOU!!,SD,Advanced,7,7.2,0,0,0
BREAK YOU!!,SD,Expert,11,11,0,0,0
BREAK YOU!!,SD,Master,13+,13.7,0,0,0
JUMPIN' JUMPIN',SD,Basic,4,4,0,0,0
JUMPIN' JUMPIN',SD,Advanced,8,8.5,0,0,0
JUMPIN' JUMPIN',SD,Expert,11+,11.7,0,0,0
JUMPIN' JUMPIN',SD,Master,13,13,0,0,0
L'épilogue,SD,Basic,5,5,0,0,0
L'épilogue,SD,Advanced,8,8.2,0,0,0
L'épilogue,SD,Expert,11+,11.7,0,0,0
L'épilogue,SD,Master,13+,13.7,0,0,0
Save This World νMIX,SD,Basic,4,4,0,0,0
Save This World νMIX,SD,Advanced,8,8.1,0,0,0
Save This World νMIX,SD,Expert,10,10.6,0,0,0
Save This World νMIX,SD,Master,13,13.3,0,0,0
Save This World νMIX,SD,Re:MASTER,13,13.3,0,0,0
Living Universe,SD,Basic,3,3,0,0,0
Living Universe,SD,Advanced,8,8.1,0,0,0
Living Universe,SD,Expert,10,10,0,0,0
Living Universe,SD,Master,11+,11.8,0,0,0
Living Universe,SD,Re:MASTER,12,12.6,0,0,0
Ignite Infinity,SD,Basic,4,4,0,0,0
Ignite Infinity,SD,Advanced,7,7.2,0,0,0
Ignite Infinity,SD,Expert,11+,11.9,0,0,0
Ignite Infinity,SD,Master,12,12.5,0,0,0
トルコ行進曲 - オワタ＼(^o^)／,SD,Basic,3,3,0,0,0
トルコ行進曲 - オワタ＼(^o^)／,SD,Advanced,7,7.6,0,0,0
トルコ行進曲 - オワタ＼(^o^)／,SD,Expert,10,10,0,0,0
裏表ラバーズ,SD,Basic,6,6,0,0,0
裏表ラバーズ,SD,Advanced,8,8.2,0,0,0
裏表ラバーズ,SD,Master,13+,13.8,0,0,0
Outlaw's Lullaby,SD,Basic,4,4,0,0,0
Outlaw's Lullaby,SD,Advanced,8,8.6,0,0,0
Outlaw's Lullaby,SD,Expert,10+,10.7,0,0,0
Outlaw's Lullaby,SD,Master,14,14,0,0,0
Brand-new Japanesque,SD,Basic,3,3,0,0,0
Brand-new Japanesque,SD,Advanced,8,8.4,0,0,0
Brand-new Japanesque,SD,Expert,10+,10.7,0,0,0
Brand-new Japanesque,SD,Master,12+,12.7,0,0,0
レッツゴー!陰陽師,SD,Basic,2,2,0,0,0
レッツゴー!陰陽師,SD,Advanced,7,7.5,0,0,0
レッツゴー!陰陽師,SD,Expert,9+,9.7,0,0,0
からくりピエロ,SD,Basic,3,3,0,0,0
からくりピエロ,SD,Advanced,6,6.6,0,0,0
からくりピエロ,SD,Expert,10,10.1,0,0,0
からくりピエロ,SD,Re:MASTER,12+,12.8,0,0,0
ネトゲ廃人シュプレヒコール,SD,Basic,5,5,0,0,0
ネトゲ廃人シュプレヒコール,SD,Advanced,7+,7.8,0,0,0
ネトゲ廃人シュプレヒコール,SD,Expert,10+,10.7,0,0,0
magician's operation,SD,Basic,4,4,0,0,0
magician's operation,SD,Advanced,7+,7.9,0,0,0
magician's operation,SD,Expert,11+,11.8,0,0,0
magician's operation,SD,Master,13+,13.7,0,0,0
六兆年と一夜物語,SD,Basic,5,5,0,0,0
六兆年と一夜物語,SD,Advanced,7+,7.8,0,0,0
六兆年と一夜物語,SD,Expert,10+,10.7,0,0,0
みくみくにしてあげる♪【してやんよ】,SD,Basic,4,4,0,0,0
みくみくにしてあげる♪【してやんよ】,SD,Advanced,6,6.8,0,0,0
みくみくにしてあげる♪【してやんよ】,SD,Expert,9,9.4,0,0,0
みくみくにしてあげる♪【してやんよ】,SD,Master,11+,11.9,0,0,0
リリリリ★バーニングナイト,SD,Basic,6,6,0,0,0
リリリリ★バーニングナイト,SD,Advanced,8,8.3,0,0,0
リリリリ★バーニングナイト,SD,Expert,9+,9.7,0,0,0
リリリリ★バーニングナイト,SD,Master,10+,10.9,0,0,0
ハロ／ハワユ,SD,Basic,3,3,0,0,0
ハロ／ハワユ,SD,Advanced,6,6.6,0,0,0
ハロ／ハワユ,SD,Expert,9,9.4,0,0,0
ハロ／ハワユ,SD,Master,12,12,0,0,0
緋色のDance,SD,Basic,5,5,0,0,0
緋色のDance,SD,Advanced,7,7.6,0,0,0
緋色のDance,SD,Expert,10+,10.7,0,0,0
緋色のDance,SD,Master,13,13.3,0,0,0
明星ロケット,SD,Basic,5,5,0,0,0
明星ロケット,SD,Advanced,7,7.6,0,0,0
明星ロケット,SD,Expert,10,10,0,0,0
明星ロケット,SD,Master,12,12.4,0,0,0
The Great Journey,SD,Basic,6,6,0,0,0
